tree,wave,weighted,mean_branch,nBranches
64,Wave 3,326.8701893881424,653.4430629939775,217
65,whole epidemic,258.5010949444664,588.1425795639137,566
65,Wave 1,162.29577409098565,370.51204428095815,134
65,Wave 2,265.6552062326662,557.5551995870815,245
65,Wave 3,319.2379209301115,693.4759681961785,220
66,whole epidemic,264.2090851137839,518.4799445965681,566
66,Wave 1,162.39795856696296,335.29356806560105,130
66,Wave 2,280.2442666070805,578.8659760788637,245
66,Wave 3,317.1179611958702,508.22500471876157,221
67,whole epidemic,255.84338272495197,596.5243818664312,566
67,Wave 1,169.21793777674915,424.3754058869565,132
67,Wave 2,274.950124764608,552.2912718741404,246
67,Wave 3,289.67301560966035,692.2209330868648,220
68,whole epidemic,257.839005971516,533.010110263338,566
68,Wave 1,167.58062166976444,462.56676291755485,130
68,Wave 2,273.75159769993917,567.4006120169788,255
68,Wave 3,303.70576730130523,479.7333283021892,216
69,whole epidemic,259.0487853920191,564.3791891034772,566
69,Wave 1,163.46309640151728,486.9443641198342,134
69,Wave 2,268.11335102198416,533.9845174706358,243
69,Wave 3,318.192252610482,590.7003312911974,221
70,whole epidemic,258.313916284426,567.5088106891046,566
70,Wave 1,163.29940768745175,592.4857063685553,132
70,Wave 2,278.5548300001288,591.9835508567587,242
70,Wave 3,303.70093925865046,476.56688545678315,222
71,whole epidemic,264.8363256343737,636.7257563799101,566
71,Wave 1,177.5507431836071,821.1605760823477,128
71,Wave 2,270.98794369046357,503.62024365982035,250
71,Wave 3,318.4083222566278,613.2665343844294,219
72,whole epidemic,265.06617365571515,747.3946098676022,566
72,Wave 1,179.13461249590046,808.139544464262,132
72,Wave 2,269.63658570879545,730.7655211102416,248
72,Wave 3,319.7951558837228,647.4068854821521,219
73,whole epidemic,266.4932108910635,599.4898319765842,566
73,Wave 1,171.07565758600995,519.892715342292,130
73,Wave 2,276.04976585943785,591.8520547534686,253
73,Wave 3,318.18773200331077,600.9584455114949,217
74,whole epidemic,256.98122459149727,507.4808554602612,566
74,Wave 1,145.05469224745977,365.66762177221716,130
74,Wave 2,272.9082840298818,492.29858627897255,249
74,Wave 3,324.1845298133698,556.4935307926158,219
75,whole epidemic,279.7999106025736,602.4275681058383,566
75,Wave 1,167.20232194160178,360.3320928499858,132
75,Wave 2,287.4152582368149,593.5263830023218,236
75,Wave 3,357.0552976645605,700.4144194503816,225
76,whole epidemic,275.33612880619427,905.3674100660054,566
76,Wave 1,159.29108136556454,741.0877067999645,130
76,Wave 2,299.33497993657943,669.0632908787463,239
76,Wave 3,331.17360570997107,1171.744745975887,224
77,whole epidemic,265.2563484492661,585.0926567379037,566
77,Wave 1,165.85970995856508,414.19005644235114,130
77,Wave 2,275.8024105637772,553.8052847423005,243
77,Wave 3,323.8938379279825,662.9659665772033,222
78,whole epidemic,273.161572847505,556.4733897787695,566
78,Wave 1,169.67303151029085,406.02571479251907,130
78,Wave 2,290.4379987908002,601.296713780608,245
78,Wave 3,322.7078066745208,537.3460112634435,221
79,whole epidemic,284.65612910752816,690.6038238949621,566
79,Wave 1,169.65036189296816,492.5268780310536,130
79,Wave 2,291.1875125930488,629.0943165272037,245
79,Wave 3,358.8186732575109,797.1318459062574,221
80,whole epidemic,262.46548168976125,538.4469063247741,566
80,Wave 1,149.9307285332276,319.7507614810437,130
80,Wave 2,289.78764584385556,653.5542027483511,247
80,Wave 3,310.08510460819593,491.00679775505284,220
81,whole epidemic,262.6861240208753,726.7704257314477,566
81,Wave 1,151.48293816833274,470.24742171892825,132
81,Wave 2,273.75064994719656,604.1500001568722,242
81,Wave 3,334.7448599667925,936.0320121996323,222
82,whole epidemic,268.0790034583954,574.9995224356097,566
82,Wave 1,155.53759831956927,362.6159913221796,132
82,Wave 2,284.4725254711502,644.7220124203076,244
82,Wave 3,329.9771033930189,574.9637509711263,221
83,whole epidemic,287.95274279509755,654.5590536012108,566
83,Wave 1,169.8659332946456,417.5385593732015,130
83,Wave 2,294.64760952918857,633.81864450478,243
83,Wave 3,366.7202193416789,767.1220619047025,222
84,whole epidemic,260.6069807602454,625.3456462382513,566
84,Wave 1,158.5530743768575,429.1596276745558,132
84,Wave 2,269.21209770417613,636.5565037458168,254
84,Wave 3,329.01091138429183,659.01047532671,216
85,whole epidemic,259.5356809796165,564.3945186617447,566
85,Wave 1,151.81925261785543,346.45619703852293,128
85,Wave 2,272.5425236837926,514.7269580023607,238
85,Wave 3,321.41298440300596,695.3272184016475,225
86,whole epidemic,271.3648125263471,670.8372660316338,566
86,Wave 1,171.7916760196528,575.5556215472585,132
