state,G1,G1_stem,G1_mono,G2,G2_stem,G2_mono,CIV,CIV_stem,CIV_mono
STATE_216000000,2024.5486866997946,2023.7220956997946,True,2024.5402300997946,2023.6651500997946,True,2025.0169825997946,2018.5408725997945,True
STATE_217000000,2024.4660968167946,2023.6702058167946,True,2024.6354708167946,2023.5480208167946,True,2024.9997062017947,2018.9952262017946,True
STATE_218000000,2024.4985642997945,2023.5534942997945,True,2024.6272514997945,2023.5344014997945,True,2024.9787215997944,2018.6695815997946,True
STATE_219000000,2024.5561869397948,2023.8430979397947,True,2024.6556889397946,2023.7374409397946,True,2025.0311022497947,2018.7065922497948,True
STATE_220000000,2024.3972240897945,2023.7474360897945,True,2024.6780307897945,2023.7777067897946,True,2025.0117742397945,2018.9720642397945,True
STATE_221000000,2024.6688385997945,2023.8239065997946,True,2024.7131549997946,2023.7446689997944,True,2024.6533402697944,2018.7235402697945,True
STATE_222000000,2024.6368127997946,2023.7927457997946,True,2024.5770189997945,2023.7145889997946,True,2024.8742768897946,2018.6767068897946,True
STATE_223000000,2024.5408137597947,2023.8594147597946,True,2024.8022520597947,2023.7951520597946,True,2025.1039780597946,2018.9432280597946,True
STATE_224000000,2024.4502801297947,2023.8884411297947,True,2024.4745421297946,2023.7757851297947,True,2025.0960761897945,2018.8194961897946,True
STATE_225000000,2024.5604181997946,2023.8848261997946,True,2024.7152101997947,2023.7516681997947,True,2025.1106838197945,2018.8235938197947,True
STATE_226000000,2024.5538526497944,2023.8884546497945,True,2024.6851076497944,2023.5524676497944,True,2024.8661771497946,2018.6666471497945,True
STATE_227000000,2024.5671044097946,2023.8274834097947,True,2024.6707714097945,2023.6831854097945,True,2025.0422319387947,2018.6799619387946,True
STATE_228000000,2024.5379975897947,2023.8191835897946,True,2024.7412382897946,2023.7883152897946,True,2025.0169344897947,2018.6297644897945,True
STATE_229000000,2024.3741965997945,2023.7662205997945,True,2024.2286888997944,2023.7139318997945,True,2025.0989278597945,2018.6166378597945,True
STATE_230000000,2024.5495518390073,2023.7158038390073,True,2024.7468303390074,2023.6529003390074,True,2024.8439001390075,2018.7088901390073,True
STATE_231000000,2024.5529692997945,2023.8153822997945,True,2024.8119342997945,2023.7764342997946,True,2024.7081412397945,2019.0092712397945,True
STATE_232000000,2024.4893478490076,2023.8847518490074,True,2024.2865289490076,2023.8314929490075,True,2024.8257487810074,2018.7078787810076,True
STATE_233000000,2024.5828640897946,2024.0864860897946,True,2024.7756170897947,2023.9786560897946,True,2025.1058822577945,2018.6377922577947,True
STATE_234000000,2024.5929410197946,2024.0647590197946,True,2024.6953280197945,2024.0489660197945,True,2025.0938045297944,2018.7555645297946,True
STATE_235000000,2024.6369081897947,2023.8861381897946,True,2024.6246217897947,2023.8593327897945,True,2024.9874642597945,2018.7896742597945,True
STATE_236000000,2024.6216171997944,2023.7980841997944,True,2024.6947321997945,2023.6518421997944,True,2025.1516920997944,2018.8328820997945,True
STATE_237000000,2024.3123585997946,2023.7853675997947,True,2024.2745803997946,2023.7245163997945,True,2024.7268102997946,2018.6756302997946,True
STATE_238000000,2024.5384788597946,2023.6997718597947,True,2024.4235049597946,2023.6340069597948,True,2024.9350698797946,2018.6743398797946,True
STATE_239000000,2024.5789204897944,2024.0370764897946,True,2024.3643084897944,2023.7553604897946,True,2024.8128612297944,2018.8507212297945,True
STATE_240000000,2024.3953825997946,2023.7363995997946,True,2024.7423703997945,2023.7179003997946,True,2024.7528640997946,2018.3473640997945,True
STATE_241000000,2024.4827894997945,2023.7044524997946,True,2024.4967024997945,2023.6029434997945,True,2024.9609536397945,2018.6889636397946,True
STATE_242000000,2024.4657470797945,2023.7959800797946,True,2024.6737350797946,2023.4220850797944,True,2024.7670126797946,2018.7765826797945,True
STATE_243000000,2024.4514352997946,2023.7746432997947,True,2024.6832823997945,2023.6960303997946,True,2025.0751175297946,2018.9538075297946,True
STATE_244000000,2024.5550594997947,2023.8128594997945,True,2024.5633984997946,2023.7054494997947,True,2024.9751816497946,2018.6232216497947,True
