"tree","wave","velocity","diffusion","nBranches"
4,"Wave 2 (2021-2023)",279.670053582145,18936.9233701845,236
5,"Wave 2 (2021-2023)",276.873378756895,18713.0133256745,247
6,"Wave 2 (2021-2023)",271.092881662193,17929.7994753356,247
7,"Wave 2 (2021-2023)",270.443165466632,19155.4963010546,244
8,"Wave 2 (2021-2023)",277.722833910488,18693.6671345238,251
9,"Wave 2 (2021-2023)",269.992613848699,18560.2368858542,242
10,"Wave 2 (2021-2023)",280.885550382857,20585.6156794619,240
11,"Wave 2 (2021-2023)",265.370779602443,17286.5144875269,248
12,"Wave 2 (2021-2023)",274.390028801904,19676.5948200516,246
13,"Wave 2 (2021-2023)",251.443095769165,17014.3168726119,247
14,"Wave 2 (2021-2023)",265.676898551155,18668.6754865125,250
15,"Wave 2 (2021-2023)",277.436353036227,18991.1682790564,244
16,"Wave 2 (2021-2023)",277.185129022961,18754.4861782002,246
17,"Wave 2 (2021-2023)",272.559116757412,16360.8071068517,237
18,"Wave 2 (2021-2023)",271.737013895181,18556.5854293748,241
19,"Wave 2 (2021-2023)",289.664159217462,20649.1761820411,245
20,"Wave 2 (2021-2023)",282.93867788464,18794.8471238813,239
21,"Wave 2 (2021-2023)",279.787814411672,19119.7364890175,243
22,"Wave 2 (2021-2023)",264.31594672468,17887.5887803704,245
23,"Wave 2 (2021-2023)",250.973279399017,15960.6355327574,242
24,"Wave 2 (2021-2023)",246.240757571481,16355.2275910016,250
25,"Wave 2 (2021-2023)",266.296133706613,19893.3538252957,246
26,"Wave 2 (2021-2023)",271.811967678685,19153.5256626228,246
27,"Wave 2 (2021-2023)",255.726903467325,17918.957822805,247
28,"Wave 2 (2021-2023)",266.82540934286,19297.4777031218,245
29,"Wave 2 (2021-2023)",274.761856486909,19614.5226749578,246
30,"Wave 2 (2021-2023)",281.100165880227,19924.9145454015,239
31,"Wave 2 (2021-2023)",282.293184066362,19230.4954524353,248
32,"Wave 2 (2021-2023)",259.729626121287,17758.1688248993,244
33,"Wave 2 (2021-2023)",267.06380105153,18803.7365932722,252
34,"Wave 2 (2021-2023)",275.920313374855,19301.0929387246,247
35,"Wave 2 (2021-2023)",268.449404630783,18727.7819141785,241
36,"Wave 2 (2021-2023)",283.583886147394,19591.8268810997,243
37,"Wave 2 (2021-2023)",274.052159246285,20773.6253158189,245
38,"Wave 2 (2021-2023)",265.537604980605,20515.7637222706,245
39,"Wave 2 (2021-2023)",265.358760675328,18660.1057248578,246
40,"Wave 2 (2021-2023)",264.82246078996,20431.0524977123,246
41,"Wave 2 (2021-2023)",268.213684582431,19709.0591887884,244
42,"Wave 2 (2021-2023)",274.236048557534,19276.0936111248,240
43,"Wave 2 (2021-2023)",280.869203615264,20080.5758409934,244
44,"Wave 2 (2021-2023)",258.618281760582,17742.5313973455,244
45,"Wave 2 (2021-2023)",268.005149644105,18516.8011220387,245
46,"Wave 2 (2021-2023)",270.164411707871,19060.9662758506,240
47,"Wave 2 (2021-2023)",282.638218983501,19377.1722596022,247
48,"Wave 2 (2021-2023)",270.871927586869,19387.5955388167,243
49,"Wave 2 (2021-2023)",286.341127070414,22185.5939694894,242
50,"Wave 2 (2021-2023)",267.058505801266,20469.6111050054,242
51,"Wave 2 (2021-2023)",279.925228174225,20604.4143400285,247
52,"Wave 2 (2021-2023)",275.118135714989,19440.6387418618,243
53,"Wave 2 (2021-2023)",284.107810977354,21447.3630843124,239
54,"Wave 2 (2021-2023)",284.598219532085,20824.7350281492,243
55,"Wave 2 (2021-2023)",283.094300944651,20110.4418749629,246
56,"Wave 2 (2021-2023)",275.493322361698,18969.5627252472,247
57,"Wave 2 (2021-2023)",279.741300535754,20411.43852704,241
58,"Wave 2 (2021-2023)",278.922790669379,18813.6783127653,246
59,"Wave 2 (2021-2023)",278.885304053725,20067.0739907881,239
60,"Wave 2 (2021-2023)",254.896289886617,16102.2591751065,250
61,"Wave 2 (2021-2023)",282.360328282302,18591.422705854,245
62,"Wave 2 (2021-2023)",273.322422674767,17725.336222869,252
63,"Wave 2 (2021-2023)",272.89254039673,18879.1045737141,243
64,"Wave 2 (2021-2023)",278.339002903633,19653.9917260376,253
65,"Wave 2 (2021-2023)",265.112832979542,17688.3935307977,245
66,"Wave 2 (2021-2023)",279.736263276882,20184.1169945207,245
67,"Wave 2 (2021-2023)",274.438794386329,20930.4008199841,246
